"id","timestamp","detail","level"
78562,"2026-07-02 21:31:45.254317",Starting update loop: 26169,DEBUG
78563,"2026-07-02 21:31:45.624021",no target found,INFO
78564,"2026-07-02 21:31:45.630863",Ending update loop: 26169,DEBUG
78565,"2026-07-02 21:31:46.254780",Starting update loop: 26170,DEBUG
78566,"2026-07-02 21:31:46.500777",no target found,INFO
78567,"2026-07-02 21:31:46.506516",Ending update loop: 26170,DEBUG
78568,"2026-07-02 21:31:47.254514",Starting update loop: 26171,DEBUG
78569,"2026-07-02 21:31:47.583177",no target found,INFO
78570,"2026-07-02 21:31:47.587854",Ending update loop: 26171,DEBUG
78571,"2026-07-02 21:31:48.255159",Starting update loop: 26172,DEBUG
78572,"2026-07-02 21:31:48.496463",no target found,INFO
78573,"2026-07-02 21:31:48.500674",Ending update loop: 26172,DEBUG
78574,"2026-07-02 21:31:49.254543",Starting update loop: 26173,DEBUG
78575,"2026-07-02 21:31:49.597960",no target found,INFO
78576,"2026-07-02 21:31:49.604293",Ending update loop: 26173,DEBUG
78577,"2026-07-02 21:31:50.255372",Starting update loop: 26174,DEBUG
78578,"2026-07-02 21:31:50.507070",no target found,INFO
78579,"2026-07-02 21:31:50.512800",Ending update loop: 26174,DEBUG
78580,"2026-07-02 21:31:51.254851",Starting update loop: 26175,DEBUG
78581,"2026-07-02 21:31:51.602935",no target found,INFO
78582,"2026-07-02 21:31:51.608476",Ending update loop: 26175,DEBUG
78583,"2026-07-02 21:31:52.254837",Starting update loop: 26176,DEBUG
78584,"2026-07-02 21:31:52.489639",no target found,INFO
78585,"2026-07-02 21:31:52.494369",Ending update loop: 26176,DEBUG
78586,"2026-07-02 21:31:53.254477",Starting update loop: 26177,DEBUG
78587,"2026-07-02 21:31:53.994570",no target found,INFO
78588,"2026-07-02 21:31:53.999024",Ending update loop: 26177,DEBUG
78589,"2026-07-02 21:31:54.254846",Starting update loop: 26178,DEBUG
78590,"2026-07-02 21:31:54.491161",no target found,INFO
78591,"2026-07-02 21:31:54.498998",Ending update loop: 26178,DEBUG
78592,"2026-07-02 21:31:55.254446",Starting update loop: 26179,DEBUG
78593,"2026-07-02 21:31:55.619369",no target found,INFO
78594,"2026-07-02 21:31:55.624217",Ending update loop: 26179,DEBUG
78595,"2026-07-02 21:31:56.254510",Starting update loop: 26180,DEBUG
78596,"2026-07-02 21:31:56.501017",no target found,INFO
78597,"2026-07-02 21:31:56.506428",Ending update loop: 26180,DEBUG
78598,"2026-07-02 21:31:57.255766",Starting update loop: 26181,DEBUG
78599,"2026-07-02 21:31:57.628534",no target found,INFO
78600,"2026-07-02 21:31:57.633802",Ending update loop: 26181,DEBUG
78601,"2026-07-02 21:31:58.255094",Starting update loop: 26182,DEBUG
78602,"2026-07-02 21:31:58.481828",no target found,INFO
78603,"2026-07-02 21:31:58.491092",Ending update loop: 26182,DEBUG
78604,"2026-07-02 21:31:59.254598",Starting update loop: 26183,DEBUG
78605,"2026-07-02 21:31:59.654245",no target found,INFO
78606,"2026-07-02 21:31:59.662645",Ending update loop: 26183,DEBUG
78607,"2026-07-02 21:32:00.254837",Starting update loop: 26184,DEBUG
78608,"2026-07-02 21:32:00.502246",no target found,INFO
78609,"2026-07-02 21:32:00.506282",Ending update loop: 26184,DEBUG
78610,"2026-07-02 21:32:01.255017",Starting update loop: 26185,DEBUG
78611,"2026-07-02 21:32:01.625290",no target found,INFO
78612,"2026-07-02 21:32:01.628921",Ending update loop: 26185,DEBUG
78613,"2026-07-02 21:32:02.255823",Starting update loop: 26186,DEBUG
78614,"2026-07-02 21:32:02.484922",no target found,INFO
78615,"2026-07-02 21:32:02.489089",Ending update loop: 26186,DEBUG
78616,"2026-07-02 21:32:03.257850",Starting update loop: 26187,DEBUG
78617,"2026-07-02 21:32:03.637717",no target found,INFO
78618,"2026-07-02 21:32:03.642242",Ending update loop: 26187,DEBUG
78619,"2026-07-02 21:32:04.256778",Starting update loop: 26188,DEBUG
78620,"2026-07-02 21:32:04.534940",no target found,INFO
78621,"2026-07-02 21:32:04.540588",Ending update loop: 26188,DEBUG
78622,"2026-07-02 21:32:05.254338",Starting update loop: 26189,DEBUG
78623,"2026-07-02 21:32:05.565857",no target found,INFO
78624,"2026-07-02 21:32:05.570144",Ending update loop: 26189,DEBUG
78625,"2026-07-02 21:32:06.254211",Starting update loop: 26190,DEBUG
78626,"2026-07-02 21:32:06.485090",no target found,INFO
78627,"2026-07-02 21:32:06.489071",task 33cc528e-2c74-4da0-9d15-f3464fd353e8 failed: ,WARNING
78628,"2026-07-02 21:32:06.508739",Ending update loop: 26190,DEBUG
78629,"2026-07-02 21:32:07.256208",Starting update loop: 26191,DEBUG
78630,"2026-07-02 21:32:07.603539",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78631,"2026-07-02 21:32:07.609585",unable to create a new instance,WARNING
78632,"2026-07-02 21:32:07.612334",no browser available for 33cc528e-2c74-4da0-9d15-f3464fd353e8,WARNING
78633,"2026-07-02 21:32:07.615034",Ending update loop: 26191,DEBUG
78634,"2026-07-02 21:32:08.254644",Starting update loop: 26192,DEBUG
78635,"2026-07-02 21:32:08.504368",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78636,"2026-07-02 21:32:08.508875",unable to create a new instance,WARNING
78637,"2026-07-02 21:32:08.511563",no browser available for 33cc528e-2c74-4da0-9d15-f3464fd353e8,WARNING
78638,"2026-07-02 21:32:08.514427",Ending update loop: 26192,DEBUG
78639,"2026-07-02 21:32:09.254267",Starting update loop: 26193,DEBUG
78640,"2026-07-02 21:32:09.585699",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78641,"2026-07-02 21:32:09.589776",unable to create a new instance,WARNING
78642,"2026-07-02 21:32:09.592412",no browser available for 33cc528e-2c74-4da0-9d15-f3464fd353e8,WARNING
78643,"2026-07-02 21:32:09.595299",Ending update loop: 26193,DEBUG
78644,"2026-07-02 21:32:10.254786",Starting update loop: 26194,DEBUG
